,Id,ProductId,Summary,Text
3558,3559,B000GDAVXW,Really tasty,I got this for a gift for my father and he loved them.  I will probably get them again but only as a gift due to the cost of sausages.
3560,3561,B00762B7XY,an unsorted assorted,"Original description and order said ""Assorted"" chocolates. What I got--weeks (!) later--was one pack of all white chocolates (the least desirable). Not worth the bother of returning even with Prime. Might be better just buying at local store (same or cheaper price) when you can see what you get."
3561,3562,B004G8ZAS4,Not what I ordered,These look like typical sugar plum jellies but they are actually grape flavored. You would assume that they would have a sugar plum flavor. They taste like cheap Kool-Aid and not the yummy Jelly Belly ones I can't seem to find on Amazon.
3563,3564,B0092XAMDQ,More for Me,"This coffee is really rich, perfect in the morning. I ordered it for the office, but it was going fast. After a day or so I decided it was too good/fine to share so I swapped it out w/some cheap stuff and brought it home. More for me!"
3564,3565,B0040PWYVO,Great sweet organic corn! BPA not sure but looks like Eden's cans.,"This canned organic corn is great. Sweet and plump, and being organic is added bonus. Inside, the can lining looks JUST LIKE Eden's BPA free cans, but so far I can't find the consumer service number of the company to verify if their can is BPA free. At least I don't see the white plastic lining in these cans. I'm just hoping these are BPA free, then these are totally awesome!"
3572,3573,B0014DZQMO,"GREAT SERVICE, DELICIOUS CANDY","I ordered from east coast supplier before and even when shipped with a bag of frozen water the dark chocolate coating turned very light. I live on the west coast and this seller is in CA, so I got the Snickers in just a couple of days, instead of 10.<br />And their shipping costs were less, they shipped via post for under $5, instead of via UPS.<br />Lowest price I have paid for this candy and best quality."
3573,3574,B0044UT0O4,Great flavored tic tacs,These tic tacs are great right up there with the orange flavor. I did find them cheaper at the 99cent store 49cents a pack. I went recently and bought 24 for $12 heads up for anyone living in Ca.
3582,3583,B004MDQSDO,reminds me of Italy,"I rarely eat anything but whole wheat pasta, but every once in a while, I eat some of this as a treat.  Almost as good as the pastas that I ate while in Italy!  Just make sure you don't over cook."
3583,3584,B000PWMHW2,One of my most favorite places on earth,"I love The Meadow.  So I guess this review is more about how much I adore this store, than it is about the salt (which by the way is fabulous).  I got my order way faster than I expected, which was nice.  I would recommend purchasing anything from these amazing folks, and even better if you can visit their lovely store in Portland.  This is one of the most romantic stores that exists.  Opening my box of truffle salt, and smelling that fragrant scent, was just not as magical as walking into their gorgeous store filled with flowers, salt, chocolate and wine.  Ah, it is a taste of heaven.<br /><br />The salt's great.  thanks Meadow people."
3584,3585,B003Y86ONM,Out of Date Chocolate,"The purchase and receipt of the box of chocolates was very good, and made my home in plenty of time for Christmas.  The box was opened the day after new years.  The cholocates were discolored and dry.  The box had expired two months before I made the order.  I made a complaint with Amazon which was resolved in a few days with full credit to my charge card.  This company wanted me to mail them back the chocolates which i had saved along with the wrapper.  They would not reply back to my inquiry as to who would pay for the shipping the chocolates back to the seller. I still have the out of date and bad box of cholocate and will keep them for inspection for the next month or so.  Then trash can."
3585,3586,B004X8TK9W,KEEBLER SOFT BATCH CHOCOLATE CHIP COOKIES 15-OUNCE(PACK OF 6),"A very soft, very delicious Keebler Brand Cookie that is hard to find in the supermarket and generally around $4.49/bag 'cause it's never on sale. I picked up my order of 6 bags through Warehouse Deals fulfilled by Amazon for $13.00, a good bargain considering how much they are in a grocery store @ $4.49/bag and hard to find usually in this variety! If the sale is right, I highly recommend it for you to try and buy for yourself!"
3590,3591,B006WW3GYC,Jelly Belly's are the Best,"Needed some bulk quantity jelly beans to fill small jars for baby shower favors.  Buying them this way saved a lot of money over buying them by the pound at the local candy store.  As stated in another review, the jelly beans just come in an unlined cardboard box.  This seemed a bit odd, but there were 2 sheets of wax paper, I guess to prevent dust, etc from getting into the box through the top and bottom.  Not much else to say, they're Jelly Belly's at about half the cost of the local guy!"
3592,3593,B001QEF4XC,quality at a good price,I don't understand why this dog food is not full of reviews. Checkout [&#8230;] they give this dog food 4 out of 5 stars which beats science diet and purina one which I use to use and diamond natural is less expensive.
3604,3605,B000HQMNIO,Best & Simpliest Salad seasoning,"This salad seasoning is so simple but extremely tasty.  It enhances the salad as it's not too over-powering.  It's a salty, mildly seasoned packet of goodness. It's also very addictive probably due to the MSG. Add olive oil and red wine vinegar, Mmmmmm.  I can't believe I found it here, b/c you cannot find it in mainstream supermarkets nor ethnic markets anymore."
3609,3610,B001HTI5I2,"Organic, simple, and fast!","My husband refuses to eat fish, but he LOVES this. It only takes 10-12 minutes to make, and is way better than any other kind of Tuna Helper I've tried.<br /><br />Besides the box itself, you'll need:<br /><br /> - 1 can of tuna (6 oz., or I use 8 oz.)<br /> - 1 tablespoon of butter<br /> - 1 cup of milk<br /><br />It's a breeze to prepare, just DON'T leave it alone before you put the tuna and pasta in. Because of the milk, it likes to boil over. Just keep an eye on it and reduce the heat right after it starts boiling."
3611,3612,B000HDMW9M,Yum,Mackerel is a tasty alternative to salmon with nearly the same Omega 3 content. My local grocery store hasn't been able to get tinned mackerel for several months. No one can explain why. So I ordered a case of these and have been pleased with the quality and value. I'm reordering.
3619,3620,B000R1BPOC,Just what I wanted,"These are wonderful!  Exactly like the originals, only in miniature form.  Delicious and crispy and the wonderful Amaretto flavor!  Rapid shipping from the seller as well!"
3624,3625,B004AGE1K0,Worth every penny!,We had candied chestnuts that came in a box in France many years ago and have since looked for them in the states.  This year I searched the internet and wa-la there were some products to try.  There were some products more expensive and because the product would be shipped we did not want to be spending a lot for something not that good.  These came in a can with syrup which was different than the ones we had had in France but they are excellent.
3625,3626,B0015D44KS,The best bean,The best way to get Jelly Belly... a good price.. and you only get the flavor you want.
3627,3628,B0009P82YM,"Rich, Belgian Chocolate",Chocolate with coconut!  How can you lose?<br /><br />I love Ross Chocolates.  You can really tell that they are made of top quality chocolate.  It is creamy and flavorful.<br /><br />I enjoy these (and I buy several flavors...all have the same great quality and taste) especially because I try to keep my sugar intake to a minimum.  I keep a supply of them in my refrigerator in airtight containers at all times.  They keep very nicely.
3629,3630,B000CS9ZTC,41 cents per 0.8 ounce is more than twice the regular price,"I wait for this cereal to go on sale before I buy it and the sale price is usually $1.99 per 12 ounce box.  The regular price is about $4.<br /><br />$28.88 for 70 small boxes of less than one ounce each is 41 cents per box/nearly per ounce. The sale price is 17 cents per ounce.  The regular price is 33 cents per ounce.<br /><br />On the other hand, this should make two rice krispie treats with one box.  Starbucks sells rice krispie treats for $2 as one of their lowest priced snacks."
3630,3631,B003CJJKDO,A very good brand.,"DE is a very good coffee.  I ordered this as my father-in-law raved about it, and the whole bean aroma rood is indeed a good coffee.  It tastes like a medium coffee with a particular spice feel to it.  Very unique and very tasty.  I tend to make my coffee very bold even if it is a 'medium' coffee, and even bold this is up there with some of my favorite coffees.<br /><br />If you are a coffee fan, this is worth a shot, pun intended.<br /><br />Enjoy."
3634,3635,B004SCD4NG,graet find,this product came as advertized..it was a great buy and I love the taste of the tea<br /><br />great deal and happy i purchase from them.
3635,3636,B003MPKGKE,"Oh, nuts.","I bought this for fathers day. My father loves dried fruits and nuts.<br /><br />It came in a somewhat cute crate box, and each compartment was in a plastic bag. That means that if you don't eat the nuts in one sitting they will go stale, as they are now sitting in the open. Same story for the fruit.<br /><br />While all the bags were closed when my father opened them he found that the nuts were stale and the fruit were hard/chewy.<br /><br />I recommend purchasing this if you need a centerpiece, but not if you actually want to eat it."
3637,3638,B005RF029M,Best flour for pizza,I used this flour in my usual pizza recipe. I noticed the difference with regular bread flour right away. The dough was very elastic and easy to work with. The pizza ended up being lighter and crispier than usual. I will only use his flour from now on!
3642,3643,B004C20NH2,Follow recipe exactly,"If you follow their recipes precisely, with careful measurements, the freezer jams are excellent.  Strawberry jam is particularly appealing.  I've been warned that changing quantities of any ingredient will not have happy results."
3643,3644,B00433ICSC,yummy,"sweet, juicy and yummy. I have to try hard not to eat too much at one time. So addictive. It tastes just like those in Asian market. Actually this one tastes a bit better."
3650,3651,B0080IP5RW,Delish!,"Tasty, slightly different flavors then other brands, but good. In all other respects good purchase. Hard to find in US so I am not too picky."
3651,3652,B0010C0JYO,Excellent for authentic Chinese dishes!,This sauce is excellent for authentic Chinese dishes! My wife is from China and we love to use this product to make Hot Pot and Ma Po Tofu.
3652,3653,B002LO0TUE,Cute item!,"Bought this as a joke to give to a friend that is a beer connisseur (sp) for his dog.  The dog didn't really care one way or the other and tried to give some to my dog and he also turned up his nose.  Not sure, but it appears to have a very salty, brothy smell that could be the reason for the turned up doggy noses.  However, it was cute to put into staged pictures of the dogs with the plastic bottles looking like they were hung over, along with their master!"
3654,3655,B000YB7XQ4,BEST TEA!,"I use this for iced tea and it is just so much better than American teas - it just plain is!  It is all I buy, and now I get it for others too.  Look no further."
3660,3661,B000FDKQC4,A Bitter Pill,"I have to say that I really wanted to like these muffins, but I could not.  They have a really bitter after taste.  Whether this is attributable to the gluten free nature of the product, I do not know.  The Hodgson Mill Blueberry Muffin Mix is a far better choice.  On a positive note, they do raise very nicely, but it is unfortunate that I find them barely edible and have five more boxes of the mix left."
3680,3681,B000G33MVK,Great Product!,Woeber's Hot & Spicy Mustard is oh so good!  I'll buy another case when this gone.  Makes a great gift as well!
3683,3684,B000ER1DIM,My daughter's first word was cracker,I started giving these to my daughter when she was 9 months.  She loved them so much her first word was cracker (while signing more)!  They dissolve in her mouth so I don't have to worry about choking.  And they are healthy too.  I highly recommend it.
3699,3700,B00113XJQW,"OMG, What a life saver","I have a pure breed GSD and had problems for years with upset stomach, eating grass and throwing up bile in the morning and then would not eat as her stomach was too upset.  It finally dawned on me that due to throwing up bile in the am was that the food was not staying with her.  I even tried feeding her before going to bed at night and still did not work.  I tried Evo and I could not believe the change.  She does not get us up at night to go outside.  She was having 3-4 bowel movements every day and now she has 1 or sometimes 2.  I have had her on the Evo large bites for almost a year now and she has not been sick once.  It is the higher protein in this food that stays with her longer and has made all of our lives so much better.  Thank you, thank you EVO!!!"
3708,3709,B0045IK1CK,Delicious!!,"My husband and I are not coffee drinkers, but we love hot chocolate. We hated the time it took to heat up the water,and the mess the dry mix sometimes makes. We saw that the Keurig coffee maker did other things like hot chocolate and tea, liked that it was almost instant hot water, and bought one. I ordered another brand of hot chocolate k-cup, and absolutely hated it. It had a weird almost metallic taste that was not sweet or chocolately. I was worried I wasted my money on a maker I would never use. I decided to try another brand and purchased the Cafe Escapes Dark Chocolate Cocoa, and we absolutely love it! It is sweet and chocolately without being too bitter(which is why I originally steered away from the dark chocolate). I fully recommend this product!!"
3727,3728,B005TAGBVS,Really good product!,These bites are 'just enough' for a snack. They are delicious and the price is very reasonable! I will definitely purchase from this company again.
3728,3729,B004SFNFEG,Best golden berries I've ever had!,"I tried this brand first and I must admit I became spoiled because subsequently I went to Whole Foods to try and buy a bunch more. I had to get Navitas and found they were smaller, drier and less flavorful. So here I am -- this brand's golden berries are large, with a wonderful more succulent texture. The only problem is sometimes I get the seeds stuck in my teeth! They have tiny white seeds like raspberries but the berry itself resembles a large golden raisin. The flavor is very strong and captivating -- like a lemon with the tartness strength of a cranberry. Within days of incorporating golden berries into my diet I have noticed my insides are thanking me. Golden berries are naturally very anti-inflammatory. They have an addicting flavor that I will gladly continue to feed into."
3730,3731,B000YSTH16,Yummy,"Both my boys have autism and are on strict GFCF diets.  The foods by ENER G are very good.  These cookies, although rather crumbly, are delicious!<br /><br />My youngest son calls them 'white cookies'.  I am a VERY picky eater - but do enjoy eating a white cookie with him!  You should try them with some chocolate melted on them...oooh divine :)"
3738,3739,B00016UX0K,What?  All These Folks Are Right?,"I read the nine reviews that preceded me and wondered how a product depending on a person's taste could consistently receive five stars.  Is something suspicious here?<br /><br />Nope!  Here's the tenth five-star rating in a row, and I'm tough.  This is the best sauce of its kind (or any kind) I've ever had; and I'm an old guy who's been around.  Just the right sweetness, just the right hotness.  I'd love to soak a chicken in it, as well as dip egg rolls and chicken nuggets.<br /><br />These big bottles won't last and I'll be back for more, fer shure.  Absolutely more than worth worth the little price, this stuff should be standard in every home, along with plumbing.<br /><br />And my sincere apologies to those other reviewers for doubting you."
3786,3787,B001HTKO86,Great for chicken curry dishes,"I have been using this curry paste for several years now, and it makes a great dish. Although it doesn't beat eating Indian out, its the best paste I have used for at home dishes. Even though this is a ""hot"" paste, I would consider it mild."
3789,3790,B0001N488G,My favorite tea of all time,"I first drank this tea at Naniboujou Lodge on the North Shore of Minnesota, and bought a small packet up there. I was hooked, so after I had drunk the first bit I bought I wanted to get more of this tea ASAP. Was glad to see it for sale in such a high quantity here. I used to be a coffee drinker, but I much prefer tea -- specifically, Ashbys Afternoon Tea -- now, and I just gave away a bag of coffee I'll never drink. I never quite got why British people are so into tea, but -- whether this is a typical British tea or not, I don't know -- I now see why they'd build their afternoons around a high-quality tea like this one. Sublime."
3790,3791,B001L1DYAA,best coffee,"The Gevalia Breakfast Blend is perhaps the best coffee I have ever purchased.  It is full-bodied, without being bitter.  It also is much cheaper to purchase through Amazon - with Free shipping for prime members.  Cant' beat it."
3803,3804,B007TGL2TQ,Almost Bought,"I went to check out and found out that the freight is $14.00 on an $11.00 (canned, not fresh produce)??!!  RIDICULOUS!!"
3804,3805,B000X2CWTM,Real Licorice,I received a box of this for Christmas. It is really good. Not overly strong like most black licorice. It is indeed soft and it has a very simple ingredient list with NO High Fructose Corn Syrup like most candy:<br />Molasses<br />Wheat Flour<br />Licorice Extract<br />Natural Flavor (Aniseed Oil)
3841,3842,B00199CELE,BEST BEAN EVER,"Wimpy coffee drinkers beware, this is not the bean for you.<br />If you like strong, bold flavor, you have found it in Larry's.  What a great coffee,<br />Starbucks move over, Larry is in first place!!"
3842,3843,B002Y2WM62,wonderful candy,i'm not much of a candy eater but these suckers are fantastic. sweet and long lasting. my whole family is addicted to this great treat
3843,3844,B0017TRINU,Good product,"The first can that I got of this wonderful oil was packed in a poor way: an old, reused box with not enough padding.  When I complained the company was quick to respond - with an apology and a new can packed well for the mail.  I was impressed with their responsiveness.  The Merula oil itself was excellent - a great treat."
3844,3845,B002979DP0,Delicious alternative to soda,"My review is of the Strawberry-Melon flavor only. I did not try the other flavors in the variety pack as I puchased mine individually.<br /><br />I don't usually drink these types of beverages, nor do I drink much soda. I generally dislike overly sweet, artificial ingredient laden stuff. Quite by chance I tried a Strawberry Melon FUZE slenderize beverage and really liked it.<br /><br />What I liked most was the pleasing flavor and the absence of sugar, although it does have sucralose as a sweetener (rather than aspartame). It was not overly sweetened and the blend of strawberry and melon flavor was for me perfectly balanced; I could clearly distinguish both flavors.  FUZE was really tasty, no strong aftertaste and no sugar ""heaviness"" in the mouth. It was honestly the first time I've had this type of beverage other than a Snapple Tea beverage that I would purchase again.<br /><br />I'm a little skeptical of the benefits of the micro-nutrients that are added to this beverage; L-Carnitine, Super Citrimax and Chromium. Perhaps it's a bit more marketing hype rather than beneficial. Nonetheless, I found this beverage to be refreshing, tasty and something I would buy again.<br /><br />It is a little bit pricey though. Compared to a 12-pack of store brand Diet Soda, which in my neck of the woods ia around $2.99 or a little over $.02/ounce, FUZE beverage is priced $24.99 for 15-18.5 ounce bottles, or a little over $.09/ounce. That makes it more than 4 times as expensive as the store brand diet sodas.<br /><br />In spite of the price, I would buy this again and would justify the price by considering this more of a treat rather than a water substitute.<br /><br />5 stars."
3846,3847,B0012R3N7C,Perfect!,"I have been looking for a nice strong rose tea, and this is the one!  I've tried a number of brands, but they weren't ""rosy"" enough for me.  This is an excellent tea with a strong rose flavor.  No bitterness - nice and smooth.  I highly recommend this tea!"
3848,3849,B004S4S2OA,AMAZING FLAVOR!,"I visited a winery/vineyard in Tuscany where they sold Leonardi Balsamico vinegar as well as all the wines.  The flavor of this balsamic is so difficult to describe but it is smooth! I was used to grocery store balsamic vinegar and some ""specialty"" store balsamic vinegars.  It's like comparing skim milk (yuk) to cream - which would you rather put in your gourmet dishes?"
3849,3850,B002HY8GNA,Just as good as the others,"There are two types of larger suckers sold on Amazon, I got the tropical ones this time. Just as good as the regular kind. These ones have a mixture of sour and sweeter parts. Well worth the money."
3852,3853,B001M074MY,Tight Fit,"The Melitta Java Pods Have a slightly smaller circumference than the Senseo pods and are thicker. If you are using a Senseo coffee machine, you probably should moisten the Java pod and smooth it before attempting to latch the lid. Otherwise, you risk breaking the latching mechanism. The resulting decaf coffee is not bad and seems to this reviewer to have a richer taste than the Senseo decaf pods. The Melitta Java pods are not really designed for the Senseo machine and several other brands such as Halo, Fratello and Millstone work better in the Senseo machine."
3875,3876,B004A85G52,missing in action,"Though London Fruit and Herb Company's Blueberry Bliss tea is one of the best teas I have ever had I cannot understand why Amazon has not begun shipping it out to customers who ordered this item months ago! It IS now available through other Vendors (i.e. Wendell Tea Company in MA) but not at the Amazon price.  If is's available to them it should be available to Amazon or they should take it off their inventory as an offering.<a href=""http://www.amazon.com/gp/product/B004A85G52"">London Fruit & Herb Company Blueberry Bliss Tea, 20-Count (Pack of 6)</a>"
3876,3877,B005580B4M,Yummy soft peppermint,"I love peppermint, but find hard candy just too strong.  These melt in your mouth and aren't overwhelming and don't leave an aftertaste."
3877,3878,B009166ECC,"Great drink, horrible price!","I can get it at Walmart for $1.78 each or the gas station for $3.50 for 2. Why, just why?"
3878,3879,B003159ETE,Amazing Spice,We bought this to use with recipes for our Tagine.  This is an amazing spice and at an excellent price! Will buy from again
3885,3886,B005GX7GVW,Great and good price!,"I love these noodles.  They are really great for a midnight snack.  It's not really something that will fill you up for a dinner.  If you do eat it for dinner, you will be hungry later.  Maybe some people wouldn't!!!!  But, it just doesn't stick to my ribs.  I love them though and Amazon has a really good price."
3887,3888,B000GEVGXA,"Truffle Oil? Well, at least the oil is real.","I'm flabbergasted by the glowing reviews that ""truffle oil"" is receiving on Amazon! Those of you espousing a desire to drizzle this stuff on your food might be sorely disappointed to learn that the truffle flavor in those tiny $17 bottles of ""truffle oil"" are made in a laboratory. There's not a molecule of actual truffle in them. It's a sinful shame that's perpetuated despite being outed a few years ago in an enlightening New York Times article called ""Hocus-Pocus, and a Beaker of Truffles."" Read it and weep: [...]<br /><br />And if you see ""truffle oil"" advertised on the menu somewhere, you might ask if they're using any other artificial flavorings in their dishes..."
3890,3891,B008G01KM8,"Good Malta, baffling business model","I've never had Sunchy Malta before (I drank a lot of Goya when it was available locally). Tastes similar to Goya, though with less of a sour taste and slightly less carbonation.<br /><br />I ordered 50 bottles in order to get free shipping. Said bottles arrived in 4 large boxes, with each bottle individually packed. None broke. At the time of purchase, this was the best deal going for Malta either locally or in stores (I've never paid less than fifty cents anywhere).<br /><br />Now, though, the free shipping is gone. Unless  Sunchy seriously expects me to drop $7.50 for shipping per bottle, it's unlikely I'll be buying anymore. They should consider selling by the pack or case if they wish to pursue the online business model.<br /><br />So, 5 stars for value and the quality of packing, with the caveat that I won't be buying any more until Sunchy figures out how to sell it."
3891,3892,B003SO2CV0,No worries!,"After reading that corn (and of course pop corn) was heavily sprayed with pesticides and agriculture uses lots of chemicals in the soil to grow it, I decided enough was enough. It was time to spend a little more and get organic. Supplier shipped quickly. Eden Foods puts out a great product. (Edenfoods.com). Certified organic and pops up nicely. I use a brown lunch bag (top folded down) with 2 TB of corn and 45 sec. in the microwave. (Your microwave time may vary). Voila! perfection. Add some splenda/cinnamon/cocoa powder mixture and yum yum. (mixture sticks really well if you spray popcorn with a little cooking spray) Only 80 calories for 2 TB! No worries!"
3894,3895,B000A40OVQ,The only soy and dairy free shortening,This really is the only choice when it comes to soy and dairy free baking (unless you want to use lard).  The Spectrum shortening uses palm kernel oil and has the consistancy of regular Crisco (perhaps a little stiffer).  It seems to bake just fine and if you need to be soy and dairy free I highly recommend it.
3897,3898,B004M1O1JE,Awesome chai,"The 500 Mile Chai is just wonderful - the right balance of mellowness and spiciness.  I've tried some chai's that are a bit too spicy, but this one is very well balanced.  Great with almond milk and bonus points for it being organic (in as much as one can trust the ""organic"" label...).<br /><br />Compare to Peet's chai, I like the 500 mile better, as IMO Peet's is a little too much on the spicy side (although I do still like Peet's and some may prefer that flavor profile)."
3898,3899,B000CC9V42,Spicey Flavors!,"A fabulous variety of hot sauces with a range of flavors and heat. I bought it for a gift for my brother so I ended up sampling, using them myself. Truly flavorful! And hot! I use it in my omelets. Burritos. Nachos. Beans."
3910,3911,B00449NWW6,Awesome!!!,"Since the factory burned down that made Firecracker brand pickled sausage I have had to get by with the individually packaged version which doesn't remotely taste like the kind I grew up with, not to mention they are half the size.  These are the best pickled sausages I've had since my last jar of Firecrackers a couple years ago.  I saw the crappy review and I had to show my support.  As a person who grew up on these things I definitely know what I'm talking about.  If you want burn your mouth out hot then look elsewhere but if you want the best tasting pickled sausage on the market currently look no further!"
3920,3921,B005IZO3A0,Among the Worst Candy Ever Produced,While I gave it the benefit of the doubt confirmation was ascertained on the second bite that it tastes like vomit.
3921,3922,B007ZTL8Z0,Good product,"This is good stuff, and hard to find in the local pet stores here in ne pa. One store carries it at times but runs out and at times I send for it through Amazon.com. The price in the stores can be very expensive, and the price through amazon is up in the air as the price fluctuates in the store and the shipping at Amazon adds to the price. I won't discuss price except to say if your dog likes it and is not allergic to it then you have to pay what it cost . My dog has lots of allergies and is not allergic to this so I pay what I pay."
3922,3923,B002F8E47K,Better than expected!,"I was nervous after reading some of the reviews about the taste of this and/or quality, but after having been consuming this for a couple days, I really do enjoy it!  Initially I thought it would be gross, but it really wasn't!  It is nice with the fruit in it, and has a kind of ""nutty"" taste. Great shipping, great quality, amazing nprice, and I def. rec!"
3923,3924,B000F9BCQ2,Zesty spearmint and lemon are modulated by green tea into a substantial potion!,"Zen brews up to an golden amber liquor. The aroma is sweet spearmint. The blending of this tea is excellent--spearmint could be overpowering but they use just the right amount of it. Slightly sweet spearmint is the primary flavor, then you taste a hint of lemon. The green tea provides an herbal base for these two flavors that makes the intial impression of zesty spearmint and lemon modulate into a substantial potion. Very nice and satisfying with a clean spearmint aftertaste.<br /><br />Remember that this tea does have caffeine--however, it does not say how much on the box. A good estimate might be 30 mg--compared to 90mg for the average cup of coffee. Make sure you time how long you brew this tea because if you brew too long it becomes bitter. Four minutes is ample."
3924,3925,B000VSDFRG,YUMMY!!!,"Wow, I have to admit these are really yummy. I don't know how they did it, but they don't have that ""imitation-sugar"" taste at all. They're small little bars (slightly bigger than the normal hershey's miniatures), but for only 30 calories a piece, they are a perfect afternoon treat when you need something sweet at the office."
3930,3931,B0076ZJ21K,Like it a lot,It was shipped in a very nice package and I have no complain with the seller. My plant growing bigger and now I am looking for a bigger pot to transplant. It's good....if you are looking for a a workspace plant that needs minimal maintenance this is the plant you might need.
3933,3934,B001EPPJII,Tasty Tea,"This is excellent green tea.  It is just a little spicy and very flavorful.  Green tea is so good for you, you won't even miss your morning coffee.  And..... you are helping children when you buy Tea District Children's Tribute tea."
3934,3935,B001AYBOPK,Tea was OK; quantity was big surprise,"This roasted green tea was only ""so-so"" to my taste. I've found others I like better since I purchased this. However, it arrived in a box of TWELVE boxes (each with 16 or so tea bags). Way too much! Then I found that we can't return food items, so I now have a LOT of tea."
3935,3936,B001L1KH6Y,WOW!  That's some good espresso,"I use this coffee in my espresso maker and all I have to say it WOW!  The espresso is smooth, with a hint of chocolate and slightly bitter finish.  It's the perfect coffee bean for espresso for me.  I hate that strong bitter finish you get with some espresso beans (like starbucks)and you don't get that with this coffee.  I LOVE IT and will be ordering more!"
3945,3946,B001FZR732,Best nuts ever!,"I have been ordering Koeze nuts over 20 years now.  The quality is as good now as they were when I was given my first jar.  I gave these to my son in law the first christmas we spent together and when he opened them his comment was ""these are wallhangers"".  They really are the best nuts I've ever had.  Enjoy!!!"
3949,3950,B002YSA1PU,Perfect for car trips!,"I keep these on hand for car trips with the grandkids. You can turn a boring bottle of water into a flavorful Kool-Aid drink by just adding a single packet to it. Just open the bottle, pour in the contents of one packet, then close and shake. Each packet contains both the Kool-Aid mix and the amount of sugar that's needed for a single drink. Perfect size for a typical water bottle. We use reusable watter bottles with them, so we can fill them up with water when ever we need something to drink and then add the Kool-Aid.<br /><br />They taste just like when you mix a regular full sized pitcher of Kool-Aid, just in a single serving size. These single servings work really well for us since we never drink a whole pitcher when me make one, and end up pouring half of it out. These were such a great idea!"
3950,3951,B006FX6UKU,The cat's like...,"...however, for the price and additional shipping cost (if not receiving that free), I would not say this is a such a good value. Not sure what makes the tuna more pricey than something like the freeze-dried salmon. If these were the only treats available to the cats, they likely would not last even one week in this small amount. In the future, I'd be more apt to open up a 69-cent can of tuna, which they are just as fine with."
3951,3952,B0049M8LRE,"nice flavor, too mild","The tea was a lot milder in flavor than I was expecting, but still pleasant. The aroma was light. I probably would not buy this again, but that's only because I would like a more intense flavor."
3952,3953,B0001N4886,Smooth Rich Blend,"I have fallen in love with this tea. I am a british tea fanatic and Ashby's has superceded my tastes and expectations. Smooth, not to bitter, low tannins awesome taste! I'll take this over PG Tips!"
3954,3955,B005HO0ARM,Good for dry skin,"If you have dry skin, give this a try. A doctor recommended I try this when I complained of itchy skin due to dryness. It's definitely more moisturizing than the bar soaps I used to use.<br /><br />As someone already mentioned, the packaging design is horrible. I used to keep almost empty bottles propped upside-down in my shower caddy, but then decided to use a pump bottle instead, which I refill.<br /><br />Dove -<br />If you're reading this, please redesign these bottles so that they are more user-friendly. In Japan, you sell liquid Dove soap in pump bottles, and you even sell refills packaged in plastic bag, which are far more eco-friendly and less expensive. Please consider doing the same for the North American market."
3975,3976,B003XW3YRS,Short fill,"I like the item or I would not have ordered it, However, I ordered 100 and 100 was confirmed. When the order arrived it contained only 96, four short. Rather skimpy. I usually like to receive what I ordered and for which I paid full price."
3978,3979,B008EMA3AS,Huge Fan,I've been using Lourdes Chimichurri for years - The stuff is awesome. I use it mostly when cooking fish but have recently started to put it in my family's sandwiches. We're also big fans of the guava and mango spreads. Highly recommend these products if you're looking for great taste without the preservatives.
3981,3982,B004DK7YHA,Sometimes it is good you have to mail order things.,"I was introduced to the Blair chips by a friend. I mostly ignore potato chips because I really don't like them. However, these I like the most among all the chips in the Blair line. They are savory and can be eaten rapidly. The hot chips are good because they are so hot, I cannot eat them fast. I am so happy I cannot get them at local stores because I would eat them all the time."
3982,3983,B001P1Y79S,Great!,These cashews are the best I've ever had and the containers they come in are the perfect size.
3983,3984,B0005ZHWXI,ADD SKIM MILK - BANANA - BLUEBERRIES  -  WHEAT GERM + MULTI-VITAMIN for A HEALTHIER CHOICE,"SOMETHING TO EAT IF YOU'RE STARVING - BUT PLEASE GIVE REAL FOOD TO HUNGRY PEOPLE,<br /><br />What's in Kellogg's Corn Flakes? ""Milled Corn, Sugar, Malt Flavoring, High Fructose Corn Syrup, Salt."" Yes, of course, it also has lots of yummy preservatives such as BHT and a few synthetic vitamins and iron in minute quantities. For nutrition you get basically 100% Carbs from lots of SUGAR and almost NO PROTEIN. Add skim milk, or you'll get saturated fat with a little protein from whole milk. For added nutrition, include a sliced banana and a capful of wheat germ.<br /><br />If you like Corn Flakes, that is your business and you should enjoy them, but this is not health food and it is a very poor value for more than 0.29 cents an ounce [$3.49 per package]. At this price, the inner package's failure to maintain freshness is an even bigger drawback when one thinks of how long it may take to finish 12 ounces of this stuff. Why not use a vacuum-sealed container like Kretschmer's Wheat Germ to preserve freshness? After all, it's in the same price range!<br /><br />So if you are hungry, you are really eating the wrong stuff. SOMETHING TO EAT IF YOU ARE STARVING - BUT PLEASE GIVE REAL FOOD TO OTHER HUNGRY PEOPLE PLEASE!"
3984,3985,B000UZVPKE,Packed in the wrong oil.,"It saddens me to say I had to return this item.  The item's page specifically said the Calamares were packed in Olive Oil.  However on the actual boxes the ingrediant showed it was packed in another oil....an unhealthy oil.  That was the bad news.  The good news is Amazon, as usual, was gracious and professional in allowing me to return this item which is considered to be 'not returnable'.  That is why I buy everything online from Amazon.com.  They are the best."
3986,3987,B0002IGPWC,Watch out.,"Watch out for this because I wanted what was pictures however I got different colored flowers.  They use local vendors and it depends on what they have in stock.  The flowers still looked beautiful, but I was expecting the white and pink flowers.  My wife got orange and yellows one instead."
